カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
門・橋,,,,2級,中級,2,藩主の屋敷門が「古城の門」と呼ばれ、地元高等学校の正門として現在も使用されているのはどの町か。,"上田,松代,新発田,小諸",上田,公式,上田市（長野県）では上田藩主・仙石氏の屋敷門が「古城の門」と呼ばれ、現在も上田高等学校の正門として現役で使用されている江戸時代の遺構。,OK,「上田市（長野県）の上田藩主居館表門（「古城の門」）は現在も長野県立上田高等学校の正門として現役使用されている。現存する門は寛政2年（1790年）に松平忠済が再建したもので、上田市文化財に指定。真田氏・仙石氏・松平氏が藩政を行った居館の表御門」 --- 出典: https://www.nagano-c.ed.jp/ueda-hs/about/kojo.html,
天守,彦根城,100名城,現存12天守,2級,中級,2,彦根城には、武者が5人くらいは入れる隠し部屋「破風の間」がある。それはどの破風（はふ）か。,"唐破風,入母屋破風,千鳥破風,切妻破風",入母屋破風,公式,彦根城天守の入母屋破風の内部には「破風の間」と呼ばれる隠し空間があり、武者数人が潜める大きさ。複雑な屋根構造を防御に活かした珍しい例。,OK,「彦根城天守の入母屋破風の内部には「破風の間（はふのま）」と呼ばれる三角形の小空間がある。武者を潜ませることができる実質的な防御空間で、彦根城天守の複雑な屋根構造に由来する独特の空間」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BD%A6%E6%A0%B9%E5%9F%8E,
天守,姫路城,100名城,現存12天守,2級,中級,2,姫路城は松本城と共に現存では二つしかない五重の天守だが、内部は何階か。,"五階,六階,七階,八階",七階,公式,姫路城大天守は外観5重だが内部は地階を含めて7階構造。外観の重数と内部の階数が異なるのは姫路城天守の設計上の特徴の一つ。,OK,「姫路城大天守は外観5重・内部6階地下1階の構造（5重6階地下1階）。「外観5重だが地階を含めて内部は7つの階層」という理解は正しい。外観の重数（5重）と内部の階数（6階+地階）が異なる後期望楼型の特徴」 --- 出典: https://www.city.himeji.lg.jp/castle/0000015570.html,
天守,姫路城,100名城,現存12天守,2級,中級,2,姫路城大天守は国宝だが、姫路城には国宝の建造物は大天守を含め何棟あるか。,"7棟,８棟,９棟,10棟",８棟,公式,姫路城の国宝建造物は大天守1棟＋東・西・乾の小天守3棟＋渡廊下（イ・ロ・ハ・ニの渡橋）4棟の計8棟。世界遺産としても登録されている。,OK,「姫路城の国宝建造物は大天守1棟・東小天守・西小天守・乾小天守の小天守3棟・イの渡橋・ロの渡橋・ハの渡橋・ニの渡橋の渡橋4棟の計8棟。16棟が重要文化財指定だが国宝は8棟で構成される連立天守群」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A7%AB%E8%B7%AF%E5%9F%8E,
縄張・構造,,,,2級,中級,2,武田氏の城郭の特徴は、新府城や諏訪原城のように台地または平地に築かれた外縁部の虎口には、ある形状の馬出を備えていたことである。その形状はどれか。,"円形,楕円形,半円形,三角形",半円形,公式,武田氏の城郭の特徴として「丸馬出（まるうまだし）」と呼ばれる半円形の馬出が挙げられる。新府城・諏訪原城などで確認でき、武田氏縄張の代名詞とされる。,OK,「丸馬出（まるうまだし）は半円形の馬出で、武田氏の城郭の特徴的な縄張技法。新府城（山梨県韮崎市）・諏訪原城（静岡県島田市）・小山城（静岡県吉田町）など武田氏ゆかりの城に多く確認されている」 --- 出典: https://ja.wikipedia.org/wiki/%E9%A6%AC%E5%87%BA,
城主・人物,福岡城,100名城,,2級,中級,2,福岡城は古代の迎賓館の跡に築城されたが、迎賓館とはどれか。,"鴻臚館（こうろかん）,水城,崇福寺,名護屋城",鴻臚館（こうろかん）,公式,鴻臚館（こうろかん）は奈良・平安時代に外国使節を接待した迎賓施設。福岡城跡内に遺構が発掘されており、古代から続く外交の場として福岡の歴史を示す。,OK,「鴻臚館（こうろかん）は奈良〜平安時代に外国使節を接待した迎賓施設。平安京（京都）・筑紫（福岡）・難波（大阪）の3か所に設置され、福岡市（福岡城跡内）の鴻臚館跡では遺構が発掘されている」 --- 出典: https://ja.wikipedia.org/wiki/%E9%B4%BB%E8%87%9A%E9%A4%A8,
地理・分類,福知山城,続100名城,,2級,中級,2,福知山城内にある井戸は日本の城郭有数の深さを誇り、今もなお清らかな水をたたえている。井戸の名前はどれか。,"お茶の水井,千貫井,金明水,豊磐の井",豊磐の井,公式,福知山城（京都府）の「豊磐の井」は深さ約50mとされ、明智光秀の築城時から現在も水をたたえる日本有数の深さを誇る城の井戸として知られる。,OK,「福知山城（京都府）の「豊磐の井（とよいわのい）」は深さ約50mとされ、明智光秀の築城（天正7年/1579年）以来現在も水をたたえる日本有数の深い城の井戸として知られる」 --- 出典: https://ja.wikipedia.org/wiki/%E7%A6%8F%E7%9F%A5%E5%B1%B1%E5%9F%8E,
城主・人物,,100名城,,2級,中級,2,平成29年（2017）2月、徳川家康が築城したころの最古級絵図が松江市で発見され話題となった。絵図の城はどれか。,"駿府城,浜松城,名古屋城,江戸城",江戸城,公式,2017年（平成29年）に松江市で発見された古絵図は慶長期（家康時代）の江戸城を描いた現存最古級の絵図で、松平家（松江藩主）旧蔵品として話題を呼んだ。,OK,「2017年（平成29年）に松江市（松江歴史館）で発見された「江戸始図」は慶長12〜14年（1607〜09）頃の江戸城を描いた現存最古級の絵図。松江藩松平家（松江松平家）の収蔵品「極秘諸国城図」の中に含まれていた」 --- 出典: https://serai.jp/hobby/1167286,
地理・分類,,続100名城,,2級,中級,2,平成９年、国の指定史跡になった山城で、中世伊予と土佐の国境最前線の城はどれか。,"湯築城,岡豊城,引田城,河後森城",河後森城,公式,河後森城（かごもりじょう、愛媛県松野町）は中世に伊予と土佐の国境を守った山城で、1997年（平成9年）に国の史跡に指定された四国の境目の城。,OK,「河後森城（かごもりじょう、愛媛県松野町）は中世に伊予と土佐の国境を守った山城。北宇和郡の吉田氏・土佐一条氏などが拠り、平成9年（1997年）に国の史跡に指定された四国の境目の城」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B2%B3%E5%BE%8C%E6%A3%AE%E5%9F%8E,
天守,,100名城,,2級,中級,2,壁に瓦を張り漆喰で補強した海鼠壁の櫓は、金沢城が有名だが他にもある。どの城か。,"新発田城,明石城,犬山城,赤穂城",新発田城,公式,海鼠壁（なまこかべ）は平瓦を格子状に張り漆喰で目地を盛り上げた外壁。金沢城が特に有名だが、新発田城（新潟県）の三階櫓にも美しい海鼠壁が見られる。,OK,「海鼠壁（なまこかべ）は平瓦を格子状に張り漆喰で目地を盛り上げた外壁意匠。金沢城二の丸広場復元建物に多用されるほか、新発田城（新潟県新発田市）の三階櫓にも美しい海鼠壁が現存する」 --- 出典: https://ja.wikipedia.org/wiki/%E6%96%B0%E7%99%BA%E7%94%B0%E5%9F%8E,
天守,,100名城,,2級,中級,2,戊辰戦争で落城するも、天守は破壊されずに残されたが、昭和になって天守が焼失。その後天守を再建した城はどれか。,"仙台城,久保田城,松前城,白河小峰城",松前城,公式,松前城（北海道）は戊辰戦争で落城したが天守は残された。しかし1949年（昭和24年）、隣接する役場の火災が飛び火して天守が焼失し、1961年に外観復元された。,OK,「松前城（北海道松前郡松前町）天守は戊辰戦争（1868年）後も現存したが、1949年（昭和24年）に隣接する役場の失火による延焼で焼失。1961年（昭和36年）に外観復元（鉄筋コンクリート造）された」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%89%8D%E5%9F%8E,
天守,大坂城,100名城,,2級,中級,2,豊臣秀吉が築いた大坂城天守に関する記述で誤りはどれか。,"天守の屋根は金箔瓦が葺かれていた,天守は五重の望楼型天守たった,最初の層塔型天守たった,外壁は黒漆塗の下見板張りであった",最初の層塔型天守たった,公式,豊臣期大坂城天守は「望楼型」天守であり「層塔型」ではない。望楼型は下層部に望楼を乗せる形式で、豊臣期大坂城天守の発掘・史料調査でもこれが確認されている。,OK,「豊臣期大坂城天守は「望楼型」天守とされている。1597年ごろ完成した初代天守は下層の入母屋部分に望楼を乗せた望楼型で、発掘調査や絵図からもこれが確認されている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%9F%8E,
門・橋,,100名城,現存12天守,2級,中級,2,本丸と二の丸を結ぶ廊下橋(詰門)の階上は家臣の詰めの間と渡り廊下、階下は門という独特の櫓門がある城はどれか。,"高知城,小田原城,金沢城,高松城",高知城,公式,高知城の詰門（廊下橋）は本丸と二の丸を結ぶ独特の構造で、下が門・上が渡り廊下兼家臣の詰所になっている。この形式は国内で高知城のみが現存する。,OK,「高知城の詰門（廊下橋）は本丸と二の丸を結ぶ独特の構造で、下部が門・上部が渡り廊下兼家臣の詰所。このような形式の現存建造物は国内で高知城のみで、重要文化財に指定されている」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E7%9F%A5%E5%9F%8E,
石垣,,100名城,,2級,中級,2,本丸南面に全国でも珍しい半同心円状の落し積石垣がある城はどれか。,"白河小峰城,大分府内城,明石城,津山城",白河小峰城,公式,白河小峰城（福島県）の本丸南面には半同心円状に張り出した「落し積み石垣」があり全国でも珍しい。南北朝期創築で、江戸期に丹羽氏が近世城郭に整備した。,OK,「白河小峰城（福島県白河市）の本丸南面石垣には「同心半円型落し積み（落とし積み）」と呼ばれる半円弧状に張り出した珍しい石垣がある。姫路城・名古屋城などにも類似例があるが全国的に希少な石垣意匠」 --- 出典: https://ja.wikipedia.org/wiki/%E7%99%BD%E6%B2%B3%E5%B0%8F%E5%B3%B0%E5%9F%8E,
歴史・合戦,,100名城,,2級,中級,2,幕末の長州征討の際、幕府軍本営が置かれ、日清戦争時には大本営が置かれた城はどれか。,"福山城,広島城,岩国城,岡山城",広島城,公式,広島城（広島県）は幕末の長州征討（第一次）で幕府軍の本営、日清戦争（1894年）では明治天皇の大本営が置かれた歴史的重要拠点。太平洋戦争で焼失し後に復元。,OK,「広島城（広島県）は元治元年（1864年）の第一次長州征討で幕府軍の本営が置かれ、日清戦争（1894〜95年）では明治天皇が御座所として大本営を置いた歴史的重要拠点。太平洋戦争の原爆で焼失し後に復元された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BA%83%E5%B3%B6%E5%9F%8E,
櫓・御殿,名古屋城,100名城,,2級,中級,2,名古屋城の本丸御殿は、復元作業が進められていたが、御殿はいつ焼失したか。,"昭和時代,明治時代,江戸時代,大正時代",昭和時代,公式,名古屋城本丸御殿は1945年（昭和20年）の太平洋戦争の空襲で天守とともに焼失した。2018年（平成30年）に全体復元が完成し、江戸初期の書院造が蘇った。,OK,「名古屋城本丸御殿は1945年（昭和20年）5月の空襲で天守とともに焼失。2018年（平成30年）6月に全体復元が完成し、慶長20年（1615年）完成当時の書院造の姿が木造で再現された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%9F%8E,
地理・分類,,100名城,,2級,中級,2,明治時代、解体寸前の姫路城を救ったのは中村重遠（しげとお）陸軍大佐で顕彰碑（けんしょうひ）が姫路城内にあるが、中村大佐が救った城はもう一つある。それはどれか。,"松本城,名古屋城,彦根城,金沢城",名古屋城,公式,中村重遠大佐（なかむらしげとお）は陸軍の建築・修繕担当の工兵大佐として、明治11年（1878年）に姫路城と名古屋城の保存を太政官に上申するよう働きかけ、両城の保存決定に尽力した功労者。「名古屋城の管理責任者を務めながら」という説明は誤りで、正確には陸軍工兵大佐として建築修繕を担当する立場から保存を訴えた。,OK,「中村重遠（なかむらしげとお）は陸軍工兵大佐として建築・修繕を担当しており、明治11年（1878年）に姫路城・名古屋城両城の保存を太政官に上申するよう願い出て保存が決定された。「名古屋城の管理責任者」という特定の役職は誤り」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%AD%E6%9D%91%E9%87%8D%E9%81%A0,中村重遠大佐（なかむらしげとお）は陸軍の建築・修繕担当の工兵大佐として、明治11年（1878年）に姫路城と名古屋城の保存を太政官に上申するよう働きかけ、両城の保存決定に尽力した功労者。「名古屋城の管理責任者を務めながら」という説明は誤りで、正確には陸軍工兵大佐として建築修繕を担当する立場から保存を訴えた。
城主・人物,,,,2級,中級,2,毛利輝元が郡山城を出て広島城を築城したように、戦国末期には山城から平（山）城への移行が見られる。七尾城に入った前田利家が麓の海際に築城したのはどれか。,"末森城,小丸山城,石動山城,大聖寺城",小丸山城,公式,前田利家は七尾城（能登の山城）から移転して小丸山城（石川県七尾市）を築き、戦国期の山城から平山城への移行例となった。利家はその後金沢城へ移った。,OK,「前田利家は天正9年（1581年）に能登23万石を拝領し七尾城に入城。のち山城の不便を解消するため七尾の市街地に小丸山城（石川県七尾市）を築き（1583年頃）、戦国末期の山城から平山城への移行例となった。その後金沢城へ移った」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E4%B8%B8%E5%B1%B1%E5%9F%8E,
城主・人物,,続100名城,,2級,中級,2,毛利元就の三男で毛利水軍を率いた小早川隆景の居城はどれか。,"三原城,福山城,宮島城,能島城",三原城,公式,三原城（広島県）は小早川隆景（毛利元就の三男）が瀬戸内海に築いた水城。小早川水軍の拠点として機能し、「浮城」とも呼ばれた海に突き出た独特の縄張。,OK,「三原城（広島県三原市）は永禄10年（1567年）に小早川隆景（毛利元就の三男）が瀬戸内海に突き出た小島をつないで築いた水城。満潮時に海に浮かぶように見えることから「浮城」とも呼ばれ、小早川水軍の拠点として機能した」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%89%E5%8E%9F%E5%9F%8E,
門・橋,,,,2級,中級,2,櫓門の説明で間違っているものはどれか。,"近世では櫓門の中でも最も格式が高く厳重な構えの門である,枡形門に構える場合、城内に近い方の門を櫓門にするのが一般的である,平屋建てで切妻造の屋根をかけている,櫓が両脇の石垣（土塁）の上に延びているのと、延びていないものに分類できる",平屋建てで切妻造の屋根をかけている,公式,櫓門は城門の上部に多門櫓を乗せた2階建て以上の構造が特徴で「平屋建て」ではない。平屋建てで切妻造の屋根をかけるのは簡素な棟門（むなもん）の形式。,OK,「櫓門（やぐらもん）は門の上部に多門（長屋）状の構造を乗せた2階建て以上の城門形式で平屋建てではない。一方、平屋建てで切妻・入母屋造の屋根をかけた簡素な形式を「棟門（むなもん）」と呼ぶ。棟門は城以外の寺社・武家屋敷にも多い」 --- 出典: https://ja.wikipedia.org/wiki/%E6%AB%93%E9%96%80,
グスク・古代城郭,,,,2級,中級,1,『日本書記』などに記載のない古代山城を神籠石（こうごいし）系山城というが、西日本でいくつ確認されているか。,"6,10,16,20",16,公式,神籠石系山城は史書に記載がなく列石（神籠石）と呼ばれる石積みで識別される古代山城。7世紀後半の白村江の戦い後に築かれたとされ、西日本で16か所確認。,OK,「神籠石系山城は史書に記載がなく列石（神籠石）と呼ばれる石塁で識別される古代山城。白村江の戦い（663年）後の7世紀後半に九州・瀬戸内沿岸に築かれたとされ、現在16〜17か所が確認されている」 --- 出典: https://ja.wikipedia.org/wiki/%E7%A5%9E%E7%B1%A0%E7%9F%B3%E7%B3%BB%E5%B1%B1%E5%9F%8E,
石垣,,,,2級,中級,1,石垣を登ってくる敵に備えるため、石垣の頂部を板状の切り石とし、外へ張り出させた石はなんというか。,"はね出石,張出石,返石,直石",はね出石,公式,はね出石（跳出石）は石垣の最上部に外側へ張り出した板状の切石で、石垣をよじ登る敵の手がかりを防ぐ防御装置。石垣頂部の「跳出石垣」とも呼ばれる。,OK,「はね出石（跳出石）は石垣最上部の石を外側に大きく張り出させた板状の切石で、石垣をよじ登ろうとする敵の手がかりを断つ防御装置。人吉城（熊本県）が代表例として知られる。「跳出石垣」とも称される」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BA%BA%E5%90%89%E5%9F%8E,
グスク・古代城郭,,100名城,,2級,中級,1,次の中で神籠石（こうごいし）系山城はどれか。,"大野城,高安城,鬼ノ城,屋島城",鬼ノ城,公式,鬼ノ城は文献に記載のない古代山城で神籠石系の代表例。土塁・石塁・城門跡が残り、7世紀後半に築かれたと推定される。,OK,「鬼ノ城（おにのじょう、岡山県総社市）は文献記録に残らない古代山城で神籠石系山城の代表例。土塁・石塁・城門跡・水門跡が残り、白村江の戦い後の7世紀後半（天智〜持統天皇期）に築かれたと推定される」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AC%BC%E3%83%8E%E5%9F%8E,
地理・分類,,,,2級,中級,1,小田原北条氏が城の修理のため農民にある道具を持って城に集まるよう命じた文書が残っている。ある道具とはどれか。,"鉤（かぎ）,金槌,鍬（くわ）と畚（ふご）,繋（けい）",鍬（くわ）と畚（ふご）,公式,小田原北条氏は農民を城普請に動員し、鍬（土を掘る）と畚（ふご＝もっこ、土を運ぶ）を持参させた。この文書は戦国大名の城郭整備と民衆動員を示す貴重な史料。,OK,「小田原北条氏の城普請に農民を動員した文書が残っており、鍬（土掘り）と畚（ふご/もっこ、土運び）を持参させた。戦国大名の城郭整備と民衆動員の実態を示す一次史料として城郭史研究上重要な史料」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%9F%8E,
歴史・合戦,,,,2級,中級,1,江戸幕府は大坂の町の優遇策として、寛永11年（1634）に地子銀（じしぎん）（宅地税）を免除したが、これを決めた将軍は誰か。,"徳川秀忠,徳川家光,徳川綱吉,徳川吉宗",徳川家光,公式,寛永11年（1634）の大坂の地子銀免除を決めたのは3代将軍・徳川家光。豊臣期から続く商業都市・大坂の町人を幕府側に取り込む優遇策として実施された。,OK,「大坂の地子銀（地代税）免除は寛永11年（1634年）に3代将軍・徳川家光が決定。豊臣期から続く大坂の商業活動を幕府支配下に取り込むための優遇策で、大坂町人の幕府への帰属を促した政策」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%9F%8E,
天守,,100名城,,2級,中級,1,城の屋根に瓦が葺かれるようになったのは室町時代末ごろで、寺院の瓦を転用していた。城専用の瓦が使用された最初の城はどれか。,"小牧山城,観音寺城,安土城,清州城",安土城,公式,安土城（滋賀県）は天正7年（1579）に完成した信長の城で、城専用に焼成された瓦を最初に使用した城とされる。金箔瓦も使われ権威と富の象徴だった。,OK,「安土城（滋賀県）は天正7年（1579年）に完成した信長の城。城郭専用に焼成された瓦（城専用の特製瓦）を初めて採用した城とされ、金箔瓦の使用で権威を表現した」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%89%E5%9C%9F%E5%9F%8E,
縄張・構造,,100名城,,2級,中級,1,築城の名人といわれた藤堂高虎の縄張ではない城はどれか。,"篠山城,大和郡山城,伊賀上野城,高岡城",高岡城,公式,高岡城（富山県）は前田利長が築いた城で藤堂高虎の縄張ではない。高虎の縄張城には今治城・津城・伊賀上野城・篠山城・丹波亀山城などが挙げられる。,OK,「高岡城（富山県）は前田利長が慶長14年（1609年）に築いた城で、縄張担当は藤堂高虎ではない。高虎の縄張城：今治城・津城・伊賀上野城・篠山城・丹波亀山城（丹波福知山城）など」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E5%B2%A1%E5%9F%8E,
地理・分類,金沢城,100名城,,2級,中級,1,金沢城の中で江戸時代から現存する建築物はどれか。,"五十間長屋,石川門,菱櫓,橋爪一の門",石川門,公式,石川門は金沢城の搦手（裏口）に位置する城門で天明8年（1788）に再建。現存する江戸時代建築として国の重要文化財に指定され、金沢城のシンボルとなっている。,OK,「金沢城（石川県）の石川門は搦手（裏口）に位置する城門で、天明8年（1788年）に再建。現存する江戸時代建築として国の重要文化財に指定され、金沢城のシンボル的建物」 --- 出典: https://ja.wikipedia.org/wiki/%E9%87%91%E6%B2%A2%E5%9F%8E,
天守,駿府城,100名城,,2級,中級,1,静岡県の駿府城では、発掘調査を行っている。出土した天守台ではある特徴が見られた。それはどれか。,"石が焼けていた,石に金箔が貼られていた,石がすべて三角形だった,石の長さがすべて均一だった",石が焼けていた,公式,駿府城の発掘調査で出土した天守台の石垣には熱で焼けた痕跡が見られ、元和9年（1623）の失火による天守焼失を裏付ける考古学的証拠として注目された。,OK,「駿府城（静岡県）の天守台発掘調査で出土した石垣に熱で焼けた赤変した痕跡が確認された。元和9年（1623年）の失火による天守焼失を裏付ける考古学的証拠として注目された」 --- 出典: https://ja.wikipedia.org/wiki/%E9%A7%BF%E5%BA%9C%E5%9F%8E,
櫓・御殿,大坂城,100名城,,2級,中級,1,徳川大坂城にはかつて二重櫓は15基存在していたが、現在はいくつ残っているか。,"2基,4基,6基,8基",4基,公式,徳川期大坂城の二重櫓は当初15基あったが、現存するのは千貫櫓・六番櫓・一番櫓・乾櫓の4基。いずれも17世紀の建築で国の重要文化財に指定されている。,OK,「徳川期大坂城の主な隅櫓は千貫櫓・六番櫓・一番櫓・乾（いぬい）櫓の4基が現存し、いずれも17世紀初頭の建築で国の重要文化財に指定されている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%9F%8E,
天守,松山城,100名城,現存12天守,2級,中級,1,愛媛県にある松山城では、平成の修復工事で天守二階下見版の裏面にユニークなものが発見された。現在、天守内部に展示しているが、それはなにか。,"サムライの似顔絵,天守の設計図,馬の絵,恋文",サムライの似顔絵,公式,松山城天守の修復工事で天守二階の下見板の裏面にサムライの似顔絵が発見された。江戸時代の職人が残した落書きで、現在は天守内部に展示されている。,OK,「松山城（愛媛県）の天守修復工事（2004〜2006年）で天守の下見板の裏面に江戸時代の職人が描いたとみられる武士の似顔絵（落書き）が発見された。現在は天守内部に展示」 --- 出典: https://www.city.matsuyama.ehime.jp/kanko/kankoguide/shitestukoen/matsuyamajyo/samurai.html,
堀・土塁,,,,2級,中級,1,近世城郭の土塁は上辺をなんと呼ぶか。,"法,犬走,雁木（がんぎ）,褶（ひらみ）",褶（ひらみ）,公式,土塁の上辺（頂上の平らな部分）は「褶（ひらみ）」と呼ばれる。土塁の斜面は法面（のりめん）、根元付近は土居などの名称が使われる。,OK,「土塁の頂部（上辺の平らな部分）は「褶（ひらみ）」または「馬踏（まぶみ）」と呼ばれる。斜面は「法面（のりめん）」、底辺は「敷（しき）」と呼ぶ。法と褶の境を「法肩（のりかた）」という」 --- 出典: https://blog.kojodan.jp/entry/2020/10/02/180000,
石垣,,100名城,,2級,中級,1,石垣と石垣の間に土塁を用いながら高くする段築の石垣で知られる城はどれか。,"高取城,月山富田城,篠山城,千早城",月山富田城,公式,月山富田城（島根県）は石垣と土塁を交互に積み重ねる「段築」が特徴的な山城。尼子氏の居城として知られ、毛利元就が長期の兵糧攻めで攻略した難攻不落の城。,OK,「月山富田城（がっさんとだじょう、島根県安来市）は段築（だんちく）が特徴的な山城で、尼子氏の居城として難攻不落として名高い。毛利元就が長期の兵糧攻め（永禄9年/1566年）で攻略した」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9C%88%E5%B1%B1%E5%AF%8C%E7%94%B0%E5%9F%8E,
地理・分類,,100名城,現存12天守,2級,中級,1,多雨地帯であるため石樋（いしどい）、長押型水切、水受けの敷石などで排水対策が施されている城はどれか。,"松山城,平戸城,高知城,人吉城",高知城,公式,高知城は年間降水量が多い土佐の気候への対策として、石樋（石製の排水溝）・長押型水切・水受けの敷石など多様な排水設備が城内各所に施されている。,OK,「高知城（高知県）は年間降水量が多い土佐の気候への対策として、石樋（いしどい/石製排水溝）・長押型水切（なげし型みずきり）・水受けの敷石など多様な排水設備が各所に施されている」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E7%9F%A5%E5%9F%8E,
櫓・御殿,,100名城,,2級,中級,1,城と櫓の組み合わせで間違いはどれか。,"彦根城―天秤櫓,松山城―野原櫓,大坂城―千貫櫓,名古屋城―安土櫓",名古屋城―安土城,公式,名古屋城に安土城の天守が移築されたという伝説があるが史実ではない。城と特定の現存建造物（櫓など）の組み合わせ問題で、安土城には現存建築が存在しない。,OK,「「安土城の天守が名古屋城に移築された」という伝説があるが史実ではない。安土城天守は天正10年（1582年）の本能寺の変前後に焼失し、移築できる状態ではなかった。安土城には現存建造物は存在しない」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%89%E5%9C%9F%E5%9F%8E,
歴史・合戦,名古屋城,100名城,,2級,中級,1,名古屋城本丸にある「清正石」と呼ばれる巨石は、どの大名が普請を担当した場所にあるか。,"加藤清正,黒田長政,浅野幸長,池田輝政",黒田長政,公式,名古屋城本丸の「清正石」は加藤清正が運んだ伝説があるが、実際にその石垣区域の天下普請を担当したのは黒田長政。担当大名の区域と石の伝説が異なる例。,OK,「名古屋城の「清正石」は本丸搦手枡形の石垣にある巨石で、加藤清正が運んだという伝説があるが、その石垣区域の天下普請担当は黒田長政。加藤清正は天守台石垣など別区域を担当した」 --- 出典: https://www.nagoyajo.city.nagoya.jp/guide/ishigaki/,
天守,,100名城,現存12天守,2級,中級,1,天守の屋根の瓦に葵の御紋が使われている城はどれか。,"丸亀城,丸岡城,松江城,松山城",松山城,公式,松山城（愛媛県）は親藩・松平氏の城で、天守の瓦に徳川家の葵の御紋（三つ葉葵）が使われている。現存天守として重要文化財、城全体が国の史跡に指定。,OK,「松山城（愛媛県）は徳川家の親藩・松平氏（久松松平家）の城。天守の瓦に三つ葉葵（徳川家紋）が使われており、現存天守は重要文化財、城域は国の史跡に指定されている」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B1%B1%E5%9F%8E_(%E4%BC%8A%E4%BA%88%E5%9B%BD),
城主・人物,,続100名城,,2級,中級,1,北条小田原氏初代の北条早雲（伊勢宗瑞）が最初に兵をあげた城はどれか。,"韮山城,興国寺城,高天神城,狩野城",興国寺城,公式,興国寺城（静岡県沼津市）は伊勢宗瑞（北条早雲）が長享元年（1487）ごろに最初に入城した城で、後北条氏発祥の地として知られる関東進出の拠点。,OK,「興国寺城（静岡県沼津市）は伊勢宗瑞（後の北条早雲）が長享元年（1487）ごろに城主として入った城で、後北条氏発祥の地。宗瑞はその後延徳3年（1491年）に伊豆堀越公方を攻略し韮山城へ移った」 --- 出典: https://ja.wikipedia.org/wiki/%E8%88%88%E5%9B%BD%E5%AF%BA%E5%9F%8E,
グスク・古代城郭,,,,2級,中級,1,沖縄の「グスク」の石垣に用いられている石はどれか。,"大理石,安山岩,石灰岩,砂岩",石灰岩,公式,グスク（琉球の城）の石垣には沖縄に豊富に産する石灰岩（琉球石灰岩）が使われている。曲線を描く独特の石積みが特徴で、首里城・中城城・座喜味城などが代表例。,OK,「グスク（琉球の城）の石垣には沖縄で豊富に産出する琉球石灰岩が使われている。曲線を描く独特の石積みが特徴で、首里城・中城城・座喜味城などが代表例として世界遺産に登録されている」 --- 出典: https://ja.wikipedia.org/wiki/%E3%82%B0%E3%82%B9%E3%82%AF,
地理・分類,,,,2級,中級,1,大分府内城、福井城、高松城、和歌山城の4つの城で共通するのはどれか。,"平城,天守が連結式,廊下橋を復元,城主の交代がなかった",廊下橋を復元,公式,大分府内城・福井城・高松城・和歌山城の4城はいずれも廊下橋（城の水堀にかかる屋根付きの橋）を復元しており、水堀を渡る景観を再現している点が共通。,OK,「廊下橋を復元した城として大分府内城（1996年復元）・福井城（2008年復元）・高松城（鞘橋）・和歌山城（御橋廊下/2006年復元）の4城がある。いずれも水堀にかかる屋根付き廊下橋を整備している」 --- 出典: https://www.kk-bestsellers.com/articles/-/10537/,
天守,松前城,100名城,,2級,中級,1,松前城天守が失われた原因はどれか。,"役場の火災の飛び火で焼失,落雷による焼失,廃城令による売却,戊辰戦争による焼失",役場の火災の飛び火で焼失,公式,松前城天守は戊辰戦争を生き延びたが、1949年（昭和24年）に隣接する町役場から出火した火災の飛び火で焼失。1961年（昭和36年）に外観復元された。,OK,「松前城（北海道）天守は戊辰戦争（明治元年/1868年）を生き延びたが、1949年（昭和24年）に隣接する松前町役場の失火の延焼で焼失。1961年（昭和36年）に外観復元（RC造）された」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%89%8D%E5%9F%8E,
